latitude,longitude,bright_ti4,bright_ti5,thermal_difference,frp,frp_log,confidence_score,hour,day_of_week,day_of_year,detection_count,days_detected,avg_frp,max_frp,persistence
9.75646,77.51951,339.71,290.17,49.539999999999964,6.77,2.050270164379556,0.66,20,5,241,3,1,4.496666666666666,6.77,Transient
10.07835,77.31503,295.94,281.68,14.259999999999991,0.23,0.20701416938432615,0.66,20,5,241,1,1,0.23,0.23,Transient
8.93206,77.96355,336.81,292.55,44.25999999999999,6.73,2.0451088625993306,0.66,7,6,242,1,1,6.73,6.73,Transient
9.11486,77.77372,331.27,292.81,38.45999999999998,3.44,1.4906543764441333,0.66,7,6,242,1,1,3.44,3.44,Transient
9.40275,80.4299,330.63,289.9,40.73000000000002,2.23,1.172482137234565,0.33,7,6,242,6,5,5.973333333333334,8.13,Recurring
9.44347,77.66592,337.18,295.43,41.75,7.48,2.1377104498038118,0.66,7,6,242,4,2,15.5375,21.3,Transient
9.44426,77.67081,348.44,298.89,49.55000000000001,16.1,2.8390784635086144,0.66,7,6,242,4,2,15.5375,21.3,Transient
9.44579,77.66801,351.06,297.64,53.420000000000016,17.27,2.9052603703899154,0.66,7,6,242,4,2,15.5375,21.3,Transient
11.81002,77.2115,340.99,298.3,42.69,11.53,2.528125768907977,0.66,7,6,242,1,1,11.53,11.53,Transient
9.66644,77.4579,301.05,284.78,16.27000000000004,0.88,0.6312717768418579,0.66,20,6,242,2,1,0.78,0.88,Transient
9.66702,77.4543,301.83,284.41,17.41999999999996,0.68,0.5187937934151675,0.66,20,6,242,2,1,0.78,0.88,Transient
9.97713,76.37589,300.76,281.22,19.539999999999964,0.97,0.6780335427498971,0.66,20,6,242,2,2,1.2999999999999998,1.63,Transient
10.1045,77.46542,307.32,290.73,16.589999999999975,0.59,0.4637340162321401,0.66,20,6,242,1,1,0.59,0.59,Transient
11.18236,79.10169,308.16,286.73,21.430000000000007,1.27,0.8197798314933114,0.66,20,6,242,6,4,1.3433333333333335,2.15,Recurring
11.81654,77.91914,308.82,289.99,18.829999999999984,1.71,0.9969486348916096,0.66,20,6,242,10,5,2.316,3.41,Recurring
8.03408,80.19231,340.68,299.7,40.98000000000002,16.12,2.840247370713596,0.66,7,0,243,2,1,16.795,17.47,Transient
8.03412,80.19515,342.01,299.78,42.23000000000002,17.47,2.9161477942111484,0.66,7,0,243,2,1,16.795,17.47,Transient
8.03635,80.40153,339.91,299.38,40.53000000000003,4.72,1.7439688053917064,0.66,7,0,243,1,1,4.72,4.72,Transient
8.12984,80.14678,330.18,299.5,30.680000000000007,3.91,1.5912739418064292,0.66,7,0,243,2,1,4.32,4.73,Transient
8.13024,80.1483,330.09,299.51,30.579999999999984,4.73,1.7457155307266483,0.66,7,0,243,2,1,4.32,4.73,Transient
8.19619,77.55958,330.48,293.99,36.49000000000001,3.4,1.4816045409242156,0.66,7,0,243,1,1,3.4,3.4,Transient
8.22025,80.20634,331.08,298.58,32.5,2.74,1.3190856114264407,0.66,7,0,243,1,1,2.74,2.74,Transient
8.33914,80.21149,342.98,303.33,39.650000000000034,11.28,2.5079719227189963,0.66,7,0,243,1,1,11.28,11.28,Transient
8.34743,80.20525,342.35,304.4,37.950000000000045,17.86,2.937043277205311,0.66,7,0,243,1,1,17.86,17.86,Transient
8.38223,80.15819,339.04,303.09,35.950000000000045,14.97,2.770711962226921,0.66,7,0,243,5,2,11.844,14.97,Recurring
8.38305,80.16289,343.0,304.62,38.379999999999995,14.97,2.770711962226921,0.66,7,0,243,5,2,11.844,14.97,Recurring
8.38596,80.15272,340.08,301.55,38.52999999999997,8.28,2.2278615467981093,0.66,7,0,243,5,2,11.844,14.97,Recurring
8.38678,80.1574,341.99,303.55,38.44,14.97,2.770711962226921,0.66,7,0,243,5,2,11.844,14.97,Recurring
8.39142,80.38304,341.08,300.9,40.18000000000001,10.55,2.446685436967803,0.66,7,0,243,2,1,7.370000000000001,10.55,Transient
8.39323,80.38007,340.17,299.37,40.80000000000001,4.19,1.6467336971777973,0.66,7,0,243,2,1,7.370000000000001,10.55,Transient
8.41513,80.32014,334.19,303.8,30.389999999999986,7.71,2.1644717908644115,0.66,7,0,243,4,3,5.452500000000001,7.71,Transient
8.43551,80.33078,340.64,300.02,40.620000000000005,4.88,1.7715567619105355,0.66,7,0,243,1,1,4.88,4.88,Transient
8.43957,80.19196,337.9,301.65,36.25,6.35,1.9947003132247452,0.66,7,0,243,3,3,7.913333333333333,9.42,Transient
8.59065,80.41304,345.04,302.86,42.18000000000001,7.92,2.188295946591918,0.66,7,0,243,1,1,7.92,7.92,Transient
8.62995,80.38409,332.97,301.43,31.54000000000002,8.8,2.2823823856765264,0.66,7,0,243,2,2,9.2,9.6,Transient
8.68145,80.28164,333.86,304.54,29.319999999999993,6.77,2.050270164379556,0.33,7,0,243,1,1,6.77,6.77,Transient
8.71056,80.42584,333.21,305.36,27.849999999999966,9.1,2.312535423847214,0.33,7,0,243,1,1,9.1,9.1,Transient
8.73938,77.75655,342.22,300.04,42.18000000000001,3.62,1.5303947050936475,0.66,7,0,243,1,1,3.62,3.62,Transient
8.80248,80.43476,338.61,303.56,35.05000000000001,5.73,1.9065751436566365,0.66,7,0,243,1,1,5.73,5.73,Transient
8.85157,80.38142,342.74,306.84,35.900000000000034,8.64,2.265921108622454,0.66,7,0,243,2,2,5.95,8.64,Transient
8.90189,80.48717,340.04,303.36,36.68000000000001,5.56,1.8809906029559975,0.66,7,0,243,1,1,5.56,5.56,Transient
8.91413,80.42585,349.56,304.37,45.19,18.71,2.9811261211646287,0.66,7,0,243,5,4,8.476,18.71,Recurring
8.91856,80.42508,342.21,303.72,38.48999999999995,7.11,2.0930978681273213,0.66,7,0,243,5,4,8.476,18.71,Recurring
8.93458,77.4248,331.74,296.67,35.06999999999999,2.81,1.3376291891386096,0.66,7,0,243,1,1,2.81,2.81,Transient
8.95756,77.42812,343.07,299.6,43.46999999999997,7.03,2.0831845279586703,0.66,7,0,243,2,1,6.73,7.03,Transient
8.95907,77.42636,336.72,299.34,37.38000000000005,6.43,2.005525858729668,0.66,7,0,243,2,1,6.73,7.03,Transient
9.02162,80.11128,332.81,306.54,26.269999999999982,8.25,2.224623551524334,0.33,7,0,243,1,1,8.25,8.25,Transient
9.04075,80.45049,340.34,302.43,37.90999999999997,8.69,2.2710944259026746,0.66,7,0,243,1,1,8.69,8.69,Transient
9.18292,80.30522,346.26,307.74,38.51999999999998,7.77,2.1713368063840917,0.66,7,0,243,2,1,5.73,7.77,Transient
9.18737,80.30444,340.18,306.14,34.04000000000002,3.69,1.5454325824581878,0.66,7,0,243,2,1,5.73,7.77,Transient
9.20535,78.30312,332.69,302.34,30.350000000000023,1.84,1.0438040521731147,0.66,7,0,243,1,1,1.84,1.84,Transient
9.22205,78.65817,333.87,305.2,28.670000000000016,1.05,0.7178397931503169,0.33,7,0,243,1,1,1.05,1.05,Transient
9.30883,80.43028,340.98,301.88,39.10000000000002,5.16,1.8180767775454285,0.66,7,0,243,1,1,5.16,5.16,Transient
9.41239,80.40015,342.7,305.44,37.25999999999999,8.5,2.2512917986064953,0.66,7,0,243,24,9,9.203333333333331,24.67,Persistent
9.41315,80.40452,331.74,304.03,27.710000000000036,4.13,1.6351056591826783,0.33,7,0,243,24,9,9.203333333333331,24.67,Persistent
9.41755,80.40376,334.45,305.1,29.349999999999966,4.13,1.6351056591826783,0.33,7,0,243,24,9,9.203333333333331,24.67,Persistent
9.41918,77.50965,335.16,299.91,35.25,2.45,1.2383742310432684,0.66,7,0,243,2,2,2.95,3.45,Transient
9.4262,80.37522,332.58,305.5,27.079999999999984,4.35,1.6770965609079151,0.33,7,0,243,3,2,3.2133333333333334,4.16,Transient
9.42924,80.39275,344.1,305.97,38.129999999999995,10.52,2.444084655267745,0.66,7,0,243,1,1,10.52,10.52,Transient
